stop_id,stop_name,location_type,wheelchair_boarding
1706,Doon Village/Millwood,0,1
1710,Bechtel/Anvil,0,1
1711,Bechtel/Wheatfield,0,1
1714,Pioneer/Doon Village,0,1
1715,365 Pioneer Dr.,0,1
1716,Highland/Fischer-Hallman,0,1
1717,Pioneer/Pioneer Park Plaza,0,1
1718,Pioneer/Homer Watson,0,1
1719,Green Valley/Pioneer,0,1
1720,Green Valley/Arrowhead,0,1
1721,Green Valley/Mill Park,0,1
1722,Old Mill/Mill Park,0,1
1723,Old Mill/Pinnacle,0,2
1724,Pinnacle/Amherst,0,2
1725,Pinnacle/Doon Valley,0,2
1726,Doon Valley/Pinnacle,0,2
1727,Doon Valley/Conestoga College Blvd.,0,1
1728,Conestoga College Blvd./Homer Watson,0,2
1731,Conestoga College Doon Campus - Recreation Centre,0,1
1732,Conestoga College Doon Campus - Door 3,0,1
1734,Doon Valley/Orchard Mill,0,1
1735,Doon Valley/Pinnacle,0,2
1736,Pinnacle/Doon Valley,0,2
1737,Pinnacle/Amherst,0,2
1738,Pinnacle/Old Mill,0,1
1739,Old Mill/Roos,0,2
1740,Green Valley/Mill Park,0,1
1741,Green Valley/Arrowhead,0,1
1742,Green Valley/Pioneer,0,1
1743,Pioneer/Homer Watson,0,1
1744,Pioneer/Pioneer Park Plaza,0,1
1745,Pioneer/Bechtel,0,1
1746,Pioneer/Bechtel,0,1
1747,365 Pioneer Dr.,0,1
1748,Pioneer/Doon Village,0,1
1751,Bechtel/Sabrina,0,1
1752,Bechtel/Anvil,0,1
1755,Doon Village/Farrier,0,1
1756,Manitou/Homer Watson,0,1
1757,421 Manitou Dr.,0,1
1758,Manitou/Sasaga,0,1
1759,650 Wabanaki Dr.,0,2
1760,Wabanaki/Wilson,0,2
1761,915 Wilson Ave.,0,2
1762,808 Wilson Ave.,0,1
1763,Wilson/Goodrich,0,1
1764,Wilson/Fairway,0,1
1773,Strasburg/Old Country,0,1
1774,Strasburg/Bleams,0,1
1776,Strasburg/Shoemaker,0,1
1777,Mcintyre/Strasburg,0,1
